pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,OGLE,1224.0,6.4,13.0,1.16,1330.0,4.18,0.0,98.09,1702.0
OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,OGLE,1224.0,1.7,14.3,1.28,140.0,0.43,0.0,98.09,1702.0
OGLE-2016-BLG-1190L b,OGLE-2016-BLG-1190L,OGLE,1224.0,2.17,12.3,1.1,4253.0,13.38,0.0,98.09,1702.0
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,OGLE,5480.0,1.16,1.11,0.099,1.43,0.0045,0.0,98.09,1702.0
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,OGLE,5480.0,3.4,13.9,1.24,250.0,0.79,0.0,98.09,1702.0
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,OGLE,5480.0,3.913,1.62,0.145,3.269,0.01029,0.0,98.09,1702.0
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,OGLE,5480.0,2.424,14.0,1.25,127.0,0.401,0.0,98.09,1702.0
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,OGLE,5480.0,3.5,14.2,1.27,130.0,0.41,0.0,98.09,1702.0
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,OGLE,5480.0,1.8,2.95,0.263,9.0,0.028,0.0,1.21,1702.0
OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,OGLE,5480.0,4.06,14.2,1.27,160.0,0.51,0.0,1.21,1702.0
OGLE-2017-BLG-1140L b,OGLE-2017-BLG-1140L,OGLE,5480.0,1.02,13.5,1.21,505.0,1.59,0.0,1.21,1702.0
OGLE-2017-BLG-1375L b,OGLE-2017-BLG-1375L,OGLE,5480.0,3.04,12.4,1.11,3585.0,11.28,0.0,1.21,1702.0
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,OGLE,5480.0,1.18,1.96,0.175,4.5,0.014,0.0,1.21,1702.0
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,OGLE,5480.0,0.59,14.0,1.25,240.0,0.75,0.0,1.21,1702.0
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,OGLE,5480.0,0.97,3.81,0.34,13.93,0.04383,0.0,1.21,1702.0
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,OGLE,5480.0,0.63,1.82,0.162,3.96,0.0125,0.0,1.21,1702.0
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,OGLE,5480.0,5.0,12.9,1.15,1500.0,4.8,0.0,1.21,1702.0
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,OGLE,3.101278,1.8,13.5,1.2,570.0,1.8,0.82,1.21,1702.0
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,OGLE,3.101278,0.8,13.2,1.18,890.0,2.8,0.82,1.21,1702.0
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,OGLE,3.101278,4.51,14.1,1.25,210.0,0.67,0.82,1.21,1702.0
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,OGLE,3.101278,2.8,12.9,1.15,1400.0,4.4,0.82,1.21,1702.0
