pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
Kepler-1367 b,Kepler-1367,Kepler,1.57409027,0.0236,0.92,0.08199999999999999,0.721,0.00227,0.0,225.23,998.0
Kepler-1368 b,Kepler-1368,Kepler,0.67564949,0.0153,1.65,0.147,3.36,0.0106,0.0,4849.26,2085.0
Kepler-1369 b,Kepler-1369,Kepler,25.873148,0.1741,2.69,0.24,7.7,0.0242,0.0,37.16,667.0
Kepler-137 b,Kepler-137,Kepler,8.436387,0.077,1.47,0.131,2.76,0.00869,0.0,86.33,742.0
Kepler-137 c,Kepler-137,Kepler,18.735753,0.13,1.88,0.168,4.19,0.0132,0.0,29.77,568.0
Kepler-1370 b,Kepler-1370,Kepler,20.2641684,0.1495,1.84,0.16399999999999998,4.04,0.0127,0.0,132.59,770.0
Kepler-1370 c,Kepler-1370,Kepler,7.44142113,0.0767,1.27,0.113,2.15,0.00678,0.0,503.72,1075.0
Kepler-1371 b,Kepler-1371,Kepler,3.4462039,0.0393,0.73,0.065,0.315,0.00099,0.0,414.76,1015.0
Kepler-1371 c,Kepler-1371,Kepler,2.00541269,0.0274,0.64,0.057,0.196,0.00062,0.0,853.27,1216.0
Kepler-1372 b,Kepler-1372,Kepler,1.31155557,0.024,1.27,0.113,2.15,0.00678,0.0,2176.36,1655.0
Kepler-1373 b,Kepler-1373,Kepler,1.29123275,0.0242,1.16,0.10300000000000001,1.65,0.00521,0.0,10436.6,1887.0
Kepler-1374 b,Kepler-1374,Kepler,10.65276707,0.0918,2.29,0.204,5.86,0.0184,0.0,59.79,737.0
Kepler-1375 b,Kepler-1375,Kepler,3.3004192,0.0471,1.74,0.155,3.68,0.0116,0.0,2948.36,1543.0
Kepler-1376 b,Kepler-1376,Kepler,5.30880656,0.0598,1.05,0.094,1.16,0.00364,0.0,278.9,1042.0
Kepler-1377 b,Kepler-1377,Kepler,0.74092842,0.0153,1.25,0.11199999999999999,2.1,0.0066,0.0,2909.21,1873.0
Kepler-1378 b,Kepler-1378,Kepler,11.95398936,0.0885,2.2,0.196,5.48,0.0172,0.0,14.87,525.0
Kepler-1379 b,Kepler-1379,Kepler,0.88184115,0.0171,1.3,0.11599999999999999,2.24,0.00705,0.0,1600.05,1564.0
Kepler-138 b,Kepler-138,Kepler,10.3126,0.076,0.522,0.047,0.066,0.00021,0.006,6.81,443.0
Kepler-138 c,Kepler-138,Kepler,13.7813,0.0906,1.197,0.107,1.97,0.0062,0.011,4.63,402.0
Kepler-138 d,Kepler-138,Kepler,23.0881,0.12780999999999998,1.212,0.10800000000000001,0.64,0.00201,0.027,2.32,338.0
Kepler-1380 b,Kepler-1380,Kepler,10.3108245,0.0917,1.43,0.128,2.63,0.00829,0.0,90.1,786.0
Kepler-1381 b,Kepler-1381,Kepler,25.3842686,0.1728,2.25,0.201,5.69,0.0179,0.0,29.7,649.0
Kepler-1382 b,Kepler-1382,Kepler,16.3583055,0.1404,1.88,0.168,4.19,0.0132,0.0,198.47,959.0
Kepler-1383 b,Kepler-1383,Kepler,13.9093583,0.1179,1.41,0.126,2.57,0.00809,0.0,231.4,928.0
Kepler-1384 b,Kepler-1384,Kepler,15.36262753,0.1126,1.94,0.17300000000000001,4.42,0.0139,0.0,32.23,608.0
Kepler-1385 b,Kepler-1385,Kepler,2.88879862,0.0415,0.85,0.076,0.543,0.0017100000000000001,0.0,1591.48,1423.0
Kepler-1386 b,Kepler-1386,Kepler,6.73972381,0.068,1.24,0.111,2.07,0.006509999999999999,0.0,196.53,1011.0
Kepler-1387 b,Kepler-1387,Kepler,2.27952666,0.031,0.93,0.083,0.749,0.00236,0.0,300.31,1123.0
Kepler-1388 b,Kepler-1388,Kepler,12.2854603,0.0882,2.59,0.231,7.22,0.0227,0.0,17.67,434.0
Kepler-1388 c,Kepler-1388,Kepler,5.53608151,0.0519,2.26,0.20199999999999999,5.73,0.018,0.0,51.04,566.0
Kepler-1388 d,Kepler-1388,Kepler,20.9568158,0.126,2.86,0.255,8.55,0.0269,0.0,8.66,363.0
Kepler-1388 e,Kepler-1388,Kepler,37.6327084,0.1861,2.46,0.21899999999999997,6.62,0.0208,0.0,3.97,299.0
Kepler-1389 b,Kepler-1389,Kepler,99.2530951,0.3869,1.77,0.158,3.78,0.0119,0.0,1.87,300.0
Kepler-139 b,Kepler-139,Kepler,15.771044,0.127,2.94,0.262,8.96,0.0282,0.0,64.78,752.0
Kepler-139 c,Kepler-139,Kepler,157.072878,0.586,3.38,0.302,11.4,0.0357,0.0,3.02,350.0
Kepler-1390 b,Kepler-1390,Kepler,6.48021673,0.0662,1.18,0.105,1.76,0.005529999999999999,0.0,171.13,934.0
Kepler-1391 b,Kepler-1391,Kepler,54.4092333,0.2768,1.68,0.15,3.46,0.0109,0.0,33.34,513.0
Kepler-1392 b,Kepler-1392,Kepler,15.1410397,0.1189,1.96,0.175,4.5,0.0142,0.0,61.42,714.0
Kepler-1393 b,Kepler-1393,Kepler,2.44357812,0.0337,0.8,0.071,0.437,0.00137,0.0,574.37,1249.0
Kepler-1394 b,Kepler-1394,Kepler,3.93766373,0.0555,1.39,0.124,2.51,0.0079,0.0,2023.01,1947.0
Kepler-1395 b,Kepler-1395,Kepler,3.78470649,0.0494,0.8,0.071,0.437,0.00137,0.0,730.53,1311.0
Kepler-1396 b,Kepler-1396,Kepler,18.2206421,0.1406,2.07,0.185,4.94,0.0155,0.0,71.82,786.0
Kepler-1397 b,Kepler-1397,Kepler,47.449955,0.2602,1.72,0.153,3.61,0.0113,0.0,58.1,551.0
Kepler-1398 b,Kepler-1398,Kepler,2.78815679,0.0392,0.9,0.08,0.666,0.0021,0.0,1249.49,1510.0
Kepler-1398 c,Kepler-1398,Kepler,4.13827595,0.051,1.03,0.092,1.08,0.0034,0.0,738.18,1324.0
Kepler-1399 b,Kepler-1399,Kepler,1.63865306,0.0276,1.25,0.11199999999999999,2.1,0.0066,0.0,1707.25,1610.0
Kepler-14 b,Kepler-14,Kepler,6.790123,0.0771,12.732999999999999,1.136,2669.66,8.4,0.035,1029.51,1605.0
Kepler-140 b,Kepler-140,Kepler,3.25427,0.045,1.61,0.14400000000000002,3.22,0.0101,0.0,848.7,1301.0
Kepler-140 c,Kepler-140,Kepler,91.353282,0.414,1.8,0.161,3.89,0.0123,0.0,9.96,428.0
Kepler-1400 b,Kepler-1400,Kepler,9.06689421,0.0771,1.62,0.145,3.26,0.0102,0.0,44.52,725.0
Kepler-1401 b,Kepler-1401,Kepler,11.20066445,0.0975,1.68,0.15,3.46,0.0109,0.0,100.91,808.0
Kepler-1402 b,Kepler-1402,Kepler,2.03387914,0.0322,0.76,0.068,0.363,0.00114,0.0,2491.12,1789.0
Kepler-1403 b,Kepler-1403,Kepler,5.19492202,0.064,2.14,0.191,5.22,0.0164,0.0,699.64,1238.0
Kepler-1404 b,Kepler-1404,Kepler,15.9314739,0.1143,2.01,0.179,4.7,0.0148,0.0,39.0,596.0
Kepler-1405 b,Kepler-1405,Kepler,28.2274184,0.1778,3.96,0.353,14.9,0.0467,0.0,33.8,565.0
Kepler-1406 b,Kepler-1406,Kepler,11.62905828,0.0987,1.1,0.098,1.37,0.0043,0.0,125.89,854.0
Kepler-1407 b,Kepler-1407,Kepler,20.0711504,0.1502,2.25,0.201,5.69,0.0179,0.0,78.67,826.0
Kepler-1408 b,Kepler-1408,Kepler,2.99793191,0.0425,0.89,0.079,0.64,0.00201,0.0,1982.27,1616.0
Kepler-1409 b,Kepler-1409,Kepler,0.76486493,0.0152,1.04,0.09300000000000001,1.12,0.00352,0.0,1552.13,1733.0
Kepler-141 b,Kepler-141,Kepler,3.107675,0.039,0.69,0.062,0.257,0.00081,0.0,228.66,968.0
Kepler-141 c,Kepler-141,Kepler,7.010606,0.067,1.41,0.126,2.57,0.00809,0.0,77.41,738.0
Kepler-1410 b,Kepler-1410,Kepler,60.866168,0.2543,1.78,0.159,3.82,0.012,0.0,1.06,290.0
Kepler-1411 b,Kepler-1411,Kepler,86.1150888,0.4001,2.82,0.252,8.35,0.0263,0.0,8.93,441.0
Kepler-1412 b,Kepler-1412,Kepler,3.6146051,0.0461,0.83,0.07400000000000001,0.498,0.00157,0.0,1087.78,1397.0
Kepler-1413 b,Kepler-1413,Kepler,13.1829642,0.1066,1.82,0.162,3.97,0.0125,0.0,42.83,661.0
Kepler-1414 b,Kepler-1414,Kepler,3.51576315,0.0426,1.23,0.11,2.04,0.00642,0.0,209.46,1033.0
Kepler-1415 b,Kepler-1415,Kepler,0.63642408,0.0144,1.29,0.115,2.21,0.006959999999999999,0.0,2138.08,1846.0
Kepler-1416 b,Kepler-1416,Kepler,1.49514952,0.0257,0.88,0.079,0.615,0.00193,0.0,2658.55,1870.0
Kepler-1417 b,Kepler-1417,Kepler,20.3505213,0.1431,1.0,0.08900000000000001,0.972,0.0030600000000000002,0.0,114.33,695.0
Kepler-1418 b,Kepler-1418,Kepler,22.4764425,0.131,1.66,0.14800000000000002,3.39,0.0107,0.0,7.29,419.0
Kepler-1419 b,Kepler-1419,Kepler,42.5215895,0.2391,2.86,0.255,8.55,0.0269,0.0,21.24,510.0
Kepler-142 b,Kepler-142,Kepler,2.024152,0.032,1.99,0.17800000000000002,4.62,0.0145,0.0,1247.91,1597.0
Kepler-142 c,Kepler-142,Kepler,4.761702,0.057,2.86,0.255,8.55,0.0269,0.0,399.44,1201.0
Kepler-142 d,Kepler-142,Kepler,41.809118,0.242,2.16,0.193,5.31,0.0167,0.0,22.07,582.0
Kepler-1420 b,Kepler-1420,Kepler,6.69960006,0.0671,1.28,0.114,2.18,0.00687,0.0,131.53,806.0
Kepler-1421 b,Kepler-1421,Kepler,6.9131112,0.0762,0.93,0.083,0.749,0.00236,0.0,649.15,1209.0
Kepler-1422 b,Kepler-1422,Kepler,18.6051942,0.1499,2.02,0.18,4.74,0.0149,0.0,156.9,833.0
Kepler-1423 b,Kepler-1423,Kepler,23.955378,0.1586,1.06,0.095,1.2,0.0037700000000000003,0.0,71.16,741.0
Kepler-1424 b,Kepler-1424,Kepler,29.6091744,0.1861,1.16,0.10300000000000001,1.65,0.00521,0.0,37.12,629.0
Kepler-1425 b,Kepler-1425,Kepler,14.4541302,0.1038,0.94,0.084,0.779,0.00245,0.0,216.41,676.0
Kepler-1426 b,Kepler-1426,Kepler,14.2563227,0.1187,1.56,0.139,3.05,0.009609999999999999,0.0,95.22,797.0
Kepler-1427 b,Kepler-1427,Kepler,0.96897238,0.0197,1.1,0.098,1.37,0.0043,0.0,2730.51,1844.0
Kepler-1428 b,Kepler-1428,Kepler,10.67607169,0.1059,1.64,0.146,3.33,0.0105,0.0,817.58,1049.0
Kepler-1429 b,Kepler-1429,Kepler,4.48487493,0.055,1.29,0.115,2.21,0.006959999999999999,0.0,551.16,1199.0
Kepler-143 b,Kepler-143,Kepler,16.007583,0.127,2.41,0.215,6.39,0.0201,0.0,118.33,838.0
Kepler-143 c,Kepler-143,Kepler,27.082511,0.181,3.37,0.301,11.3,0.0355,0.0,58.7,703.0
Kepler-1430 b,Kepler-1430,Kepler,2.46050993,0.0304,1.18,0.105,1.76,0.005529999999999999,0.0,208.54,969.0
Kepler-1431 b,Kepler-1431,Kepler,5.86601526,0.0648,1.47,0.131,2.76,0.00869,0.0,469.82,1064.0
Kepler-1432 b,Kepler-1432,Kepler,23.9109011,0.1696,2.22,0.198,5.56,0.0175,0.0,119.24,709.0
Kepler-1433 b,Kepler-1433,Kepler,4.13592271,0.0516,1.56,0.139,3.05,0.009609999999999999,0.0,535.42,1226.0
Kepler-1434 b,Kepler-1434,Kepler,8.05333618,0.0894,1.11,0.099,1.41,0.0044399999999999995,0.0,925.29,1320.0
Kepler-1435 b,Kepler-1435,Kepler,4.45343281,0.0546,0.86,0.077,0.566,0.0017800000000000001,0.0,893.89,1331.0
Kepler-1436 b,Kepler-1436,Kepler,9.705716,0.0907,1.31,0.11699999999999999,2.27,0.0071400000000000005,0.0,772.08,1001.0
Kepler-1437 b,Kepler-1437,Kepler,10.9295461,0.0951,1.37,0.122,2.45,0.00771,0.0,83.14,770.0
Kepler-1438 b,Kepler-1438,Kepler,2.31942009,0.0346,0.94,0.084,0.779,0.00245,0.0,561.12,1490.0
Kepler-1439 b,Kepler-1439,Kepler,8.07392849,0.0594,1.46,0.13,2.73,0.00859,0.0,9.08,420.0
Kepler-144 b,Kepler-144,Kepler,5.885273,0.066,1.33,0.11900000000000001,2.33,0.00733,0.0,426.72,1253.0
Kepler-144 c,Kepler-144,Kepler,10.104665,0.094,1.35,0.12,2.39,0.007520000000000001,0.0,207.25,1046.0
Kepler-1440 b,Kepler-1440,Kepler,39.859484,0.2274,1.26,0.11199999999999999,2.13,0.006690000000000001,0.0,44.73,597.0
Kepler-1441 b,Kepler-1441,Kepler,39.4419839,0.2346,1.31,0.11699999999999999,2.27,0.0071400000000000005,0.0,33.05,682.0
Kepler-1442 b,Kepler-1442,Kepler,81.4162941,0.4039,3.93,0.35100000000000003,14.7,0.0461,0.0,25.97,522.0
Kepler-1443 b,Kepler-1443,Kepler,2.41811321,0.0368,0.97,0.087,0.871,0.00274,0.0,2809.16,1602.0
Kepler-1444 b,Kepler-1444,Kepler,33.42035034,0.2015,2.18,0.19399999999999998,5.39,0.017,0.0,25.94,581.0
Kepler-1445 b,Kepler-1445,Kepler,10.60052251,0.0948,0.96,0.086,0.84,0.00264,0.0,248.55,987.0
Kepler-1446 b,Kepler-1446,Kepler,0.68996783,0.0141,0.82,0.073,0.477,0.0015,0.0,1213.33,1539.0
Kepler-1447 b,Kepler-1447,Kepler,56.6747285,0.2836,2.9,0.259,8.75,0.0275,0.0,10.35,522.0
Kepler-1448 b,Kepler-1448,Kepler,12.27065865,0.1058,1.61,0.14400000000000002,3.22,0.0101,0.0,86.64,811.0
Kepler-1449 b,Kepler-1449,Kepler,13.2274528,0.1176,1.68,0.15,3.46,0.0109,0.0,271.88,867.0
Kepler-145 b,Kepler-145,Kepler,22.951,0.1699,2.65,0.23600000000000002,37.1,0.117,0.43,154.71,873.0
Kepler-145 c,Kepler-145,Kepler,42.882,0.2578,4.32,0.385,79.4,0.25,0.11,67.19,709.0
Kepler-1450 b,Kepler-1450,Kepler,54.5094166,0.2401,1.71,0.153,3.57,0.0112,0.0,3.08,308.0
Kepler-1451 b,Kepler-1451,Kepler,35.622233,0.2101,3.35,0.299,11.2,0.0352,0.0,18.75,523.0
Kepler-1452 b,Kepler-1452,Kepler,42.913751,0.2697,2.7,0.24100000000000002,7.75,0.0244,0.0,73.5,810.0
Kepler-1453 b,Kepler-1453,Kepler,47.1611696,0.262,2.67,0.23800000000000002,7.61,0.0239,0.0,11.89,503.0
Kepler-1454 b,Kepler-1454,Kepler,47.0319479,0.2447,1.88,0.168,4.19,0.0132,0.0,9.08,492.0
Kepler-1455 b,Kepler-1455,Kepler,49.276764,0.2149,2.16,0.193,5.31,0.0167,0.0,1.53,298.0
Kepler-1456 b,Kepler-1456,Kepler,18.1373829,0.1132,1.14,0.102,1.55,0.00489,0.0,8.23,433.0
Kepler-1457 b,Kepler-1457,Kepler,51.1110243,0.2668,1.99,0.17800000000000002,4.62,0.0145,0.0,23.47,478.0
Kepler-1458 b,Kepler-1458,Kepler,47.9872764,0.2495,2.76,0.24600000000000002,8.05,0.0253,0.0,8.29,493.0
Kepler-1459 b,Kepler-1459,Kepler,62.8691611,0.2829,1.36,0.121,2.42,0.00761,0.0,3.51,349.0
Kepler-146 b,Kepler-146,Kepler,31.158799,0.2,3.71,0.331,13.3,0.0418,0.0,32.89,639.0
Kepler-146 c,Kepler-146,Kepler,76.732171,0.364,3.13,0.27899999999999997,9.96,0.0313,0.0,9.89,473.0
Kepler-1460 b,Kepler-1460,Kepler,29.9633247,0.1614,1.96,0.175,4.5,0.0142,0.0,5.47,391.0
Kepler-1461 b,Kepler-1461,Kepler,29.3494775,0.1715,2.03,0.18100000000000002,4.78,0.015,0.0,8.88,451.0
Kepler-1462 b,Kepler-1462,Kepler,65.6488341,0.3094,3.82,0.341,14.0,0.044,0.0,4.7,390.0
Kepler-1463 b,Kepler-1463,Kepler,25.15864,0.1694,1.86,0.166,4.12,0.013,0.0,57.63,619.0
Kepler-1464 b,Kepler-1464,Kepler,31.7785901,0.1803,1.66,0.14800000000000002,3.39,0.0107,0.0,89.47,564.0
Kepler-1464 c,Kepler-1464,Kepler,5.32786292,0.0548,1.0,0.08900000000000001,0.972,0.0030600000000000002,0.0,968.55,1023.0
Kepler-1465 b,Kepler-1465,Kepler,31.8277111,0.1939,1.77,0.158,3.78,0.0119,0.0,6.25,668.0
Kepler-1466 b,Kepler-1466,Kepler,31.1750448,0.1942,1.55,0.138,3.02,0.00951,0.0,21.88,585.0
Kepler-1467 b,Kepler-1467,Kepler,47.0569043,0.2388,3.3,0.294,10.9,0.0343,0.0,7.92,411.0
Kepler-1468 b,Kepler-1468,Kepler,8.23984869,0.0817,1.73,0.154,3.64,0.0115,0.0,481.35,1093.0
Kepler-1468 c,Kepler-1468,Kepler,3.54553021,0.0466,1.15,0.10300000000000001,1.6,0.00505,0.0,1479.57,1448.0
Kepler-1469 b,Kepler-1469,Kepler,21.8635301,0.1466,2.8,0.25,8.25,0.0259,0.0,24.9,551.0
Kepler-147 b,Kepler-147,Kepler,12.610584,0.113,1.53,0.136,2.96,0.0093,0.0,224.61,953.0
Kepler-147 c,Kepler-147,Kepler,33.416423,0.216,2.43,0.217,6.48,0.0204,0.0,61.29,689.0
Kepler-1470 b,Kepler-1470,Kepler,16.2950903,0.116,1.07,0.095,1.24,0.0039,0.0,23.92,574.0
Kepler-1471 b,Kepler-1471,Kepler,3.63899398,0.0453,1.41,0.126,2.57,0.00809,0.0,314.23,1238.0
Kepler-1472 b,Kepler-1472,Kepler,38.1312831,0.2322,1.9,0.17,4.27,0.0134,0.0,57.08,613.0
Kepler-1473 b,Kepler-1473,Kepler,14.4273551,0.116,1.19,0.106,1.81,0.0057,0.0,111.01,783.0
Kepler-1474 b,Kepler-1474,Kepler,36.4333452,0.2108,2.16,0.193,5.31,0.0167,0.0,21.39,561.0
Kepler-1475 b,Kepler-1475,Kepler,82.177374,0.373,2.92,0.261,8.85,0.0279,0.0,13.76,441.0
Kepler-1476 b,Kepler-1476,Kepler,10.35863224,0.0932,1.67,0.149,3.43,0.0108,0.0,75.64,860.0
Kepler-1477 b,Kepler-1477,Kepler,11.55530021,0.0911,1.18,0.105,1.76,0.005529999999999999,0.0,78.16,674.0
Kepler-1478 b,Kepler-1478,Kepler,26.0840594,0.1681,1.73,0.154,3.64,0.0115,0.0,85.28,598.0
Kepler-1479 b,Kepler-1479,Kepler,14.53261362,0.1173,1.83,0.163,4.01,0.0126,0.0,98.57,746.0
Kepler-148 b,Kepler-148,Kepler,1.729366,0.028,1.8,0.161,3.89,0.0123,0.0,609.02,1284.0
Kepler-148 c,Kepler-148,Kepler,4.180043,0.05,3.6,0.321,12.6,0.0398,0.0,187.2,957.0
Kepler-148 d,Kepler-148,Kepler,51.84688575,0.2607,8.68,0.774,56.3,0.177,0.0,6.53,413.0
Kepler-1480 b,Kepler-1480,Kepler,22.12679948,0.1525,1.67,0.149,3.43,0.0108,0.0,16.32,721.0
Kepler-1481 b,Kepler-1481,Kepler,5.94220998,0.059,1.23,0.11,2.04,0.00642,0.0,71.94,797.0
Kepler-1482 b,Kepler-1482,Kepler,12.25383217,0.1016,1.01,0.09,1.01,0.00317,0.0,86.5,678.0
Kepler-1483 b,Kepler-1483,Kepler,9.5085156,0.0958,1.52,0.136,2.92,0.0092,0.0,265.02,1131.0
Kepler-1484 b,Kepler-1484,Kepler,30.4549136,0.1939,2.11,0.188,5.1,0.016,0.0,35.92,624.0
Kepler-1485 b,Kepler-1485,Kepler,19.9157725,0.1467,1.47,0.131,2.76,0.00869,0.0,85.18,728.0
Kepler-1486 b,Kepler-1486,Kepler,54.6495759,0.2846,2.32,0.207,5.99,0.0189,0.0,22.37,538.0
Kepler-1487 b,Kepler-1487,Kepler,7.31946363,0.0898,2.13,0.19,5.18,0.0163,0.0,323.29,1682.0
Kepler-1488 b,Kepler-1488,Kepler,39.8189932,0.2285,1.86,0.166,4.12,0.013,0.0,73.33,650.0
Kepler-1489 b,Kepler-1489,Kepler,82.294751,0.3679,1.77,0.158,3.78,0.0119,0.0,11.89,400.0
Kepler-149 b,Kepler-149,Kepler,29.198943,0.184,4.21,0.376,16.5,0.0519,0.0,23.64,540.0
Kepler-149 c,Kepler-149,Kepler,55.328328,0.281,1.61,0.14400000000000002,3.22,0.0101,0.0,10.08,436.0
Kepler-149 d,Kepler-149,Kepler,160.018032,0.571,3.96,0.353,14.9,0.0467,0.0,2.45,306.0
Kepler-1490 b,Kepler-1490,Kepler,92.4362973,0.3729,3.04,0.271,9.48,0.0298,0.0,3.79,348.0
Kepler-1491 b,Kepler-1491,Kepler,16.5861762,0.127,1.51,0.135,2.89,0.00909,0.0,138.11,821.0
Kepler-1492 b,Kepler-1492,Kepler,16.75255007,0.1262,1.49,0.133,2.83,0.00889,0.0,11.52,801.0
Kepler-1493 b,Kepler-1493,Kepler,15.0217983,0.1197,1.41,0.126,2.57,0.00809,0.0,137.91,874.0
Kepler-1494 b,Kepler-1494,Kepler,91.080482,0.3982,3.07,0.27399999999999997,9.64,0.0303,0.0,9.11,415.0
Kepler-1495 b,Kepler-1495,Kepler,85.273256,0.3677,2.94,0.262,8.96,0.0282,0.0,9.1,443.0
Kepler-1496 b,Kepler-1496,Kepler,64.6588017,0.3211,2.22,0.198,5.56,0.0175,0.0,18.38,535.0
Kepler-1497 b,Kepler-1497,Kepler,8.74199772,0.0817,1.66,0.14800000000000002,3.39,0.0107,0.0,172.38,924.0
Kepler-1498 b,Kepler-1498,Kepler,48.051405,0.2528,1.33,0.11900000000000001,2.33,0.00733,0.0,9.86,564.0
Kepler-1499 b,Kepler-1499,Kepler,44.2008,0.2196,1.19,0.106,1.81,0.0057,0.0,7.37,409.0
Kepler-15 b,Kepler-15,Kepler,4.942782,0.057139999999999996,10.76,0.96,209.76,0.66,0.06,430.68,1251.0
Kepler-150 b,Kepler-150,Kepler,3.428054,0.044,1.25,0.11199999999999999,2.1,0.0066,0.0,367.26,1131.0
Kepler-150 c,Kepler-150,Kepler,7.381998,0.073,3.69,0.32899999999999996,13.2,0.0415,0.0,132.09,876.0
Kepler-150 d,Kepler-150,Kepler,12.56093,0.104,2.79,0.249,8.2,0.0258,0.0,65.14,734.0
Kepler-150 e,Kepler-150,Kepler,30.826557,0.189,3.12,0.278,9.91,0.0312,0.0,19.67,544.0
Kepler-150 f,Kepler-150,Kepler,637.2093,1.24,3.64,0.325,12.9,0.0405,0.0,131.82,928.0
Kepler-1500 b,Kepler-1500,Kepler,15.0330105,0.1236,1.2,0.107,1.87,0.00588,0.0,131.82,928.0
Kepler-1501 b,Kepler-1501,Kepler,14.5564533,0.1228,1.56,0.139,3.05,0.009609999999999999,0.0,100.0,787.0
Kepler-1502 b,Kepler-1502,Kepler,41.7083629,0.2482,3.18,0.284,10.2,0.0322,0.0,77.32,608.0
Kepler-1503 b,Kepler-1503,Kepler,96.16987,0.3771,2.27,0.203,5.77,0.0182,0.0,5.64,321.0
Kepler-1504 b,Kepler-1504,Kepler,82.304003,0.3704,2.13,0.19,5.18,0.0163,0.0,25.17,485.0
Kepler-1505 b,Kepler-1505,Kepler,30.8609366,0.1862,0.93,0.083,0.749,0.00236,0.0,36.12,525.0
Kepler-1506 b,Kepler-1506,Kepler,14.0329154,0.1168,1.32,0.11800000000000001,2.3,0.007240000000000001,0.0,235.81,783.0
Kepler-1507 b,Kepler-1507,Kepler,16.0506213,0.1234,0.84,0.075,0.52,0.00164,0.0,30.48,630.0
Kepler-1508 b,Kepler-1508,Kepler,20.7056504,0.1629,1.33,0.11900000000000001,2.33,0.00733,0.0,116.14,967.0
Kepler-1509 b,Kepler-1509,Kepler,25.4338197,0.1707,1.85,0.165,4.08,0.0128,0.0,83.08,667.0
Kepler-151 b,Kepler-151,Kepler,15.228958,0.116,3.06,0.273,9.59,0.0302,0.0,40.73,639.0
Kepler-151 c,Kepler-151,Kepler,24.674612,0.16,2.09,0.18600000000000003,5.02,0.0158,0.0,21.41,544.0
Kepler-1510 b,Kepler-1510,Kepler,84.703921,0.4089,3.36,0.3,11.2,0.0354,0.0,14.04,537.0
Kepler-1511 b,Kepler-1511,Kepler,23.2382792,0.1753,1.68,0.15,3.46,0.0109,0.0,228.22,903.0
Kepler-1512 b,Kepler-1512,Kepler,20.35972599,0.1097,1.18,0.105,1.76,0.005529999999999999,0.0,1.6,322.0
Kepler-1513 b,Kepler-1513,Kepler,160.88465087,0.5416,8.46,0.755,53.9,0.17,0.0,2.23,346.0
Kepler-1514 b,Kepler-1514,Kepler,217.83184,0.753,12.42,1.1079999999999999,1678.1424,5.28,0.401,3.23,388.0
Kepler-1514 c,Kepler-1514,Kepler,10.514181,0.0997,1.176,0.105,1.74,0.0054600000000000004,0.32,193.0,1066.0
Kepler-1515 b,Kepler-1515,Kepler,214.3114164,0.7655,9.55,0.852,66.2,0.208,0.0,6.02,380.0
Kepler-1516 b,Kepler-1516,Kepler,7.25931979,0.0718,1.75,0.156,3.71,0.0117,0.0,615.25,967.0
Kepler-1517 b,Kepler-1517,Kepler,5.54608367,0.078,9.76,0.871,68.7,0.216,0.0,1526.98,2336.0
Kepler-1518 b,Kepler-1518,Kepler,5.11177904,0.0593,3.05,0.272,9.53,0.03,0.0,1079.46,1351.0
Kepler-1519 b,Kepler-1519,Kepler,240.7989397,0.7655,7.06,0.63,39.6,0.125,0.0,3.94,342.0
Kepler-152 b,Kepler-152,Kepler,18.207973,0.124,2.79,0.249,8.2,0.0258,0.0,21.08,551.0
Kepler-152 c,Kepler-152,Kepler,88.255055,0.356,2.39,0.213,6.3,0.0198,0.0,2.57,326.0
Kepler-1520 b,Kepler-1520,Kepler,0.65355357,0.0129,5.77,0.515,28.1,0.0885,0.0,1134.39,1437.0
Kepler-1521 b,Kepler-1521,Kepler,47.14840805,0.2317,2.5,0.223,6.8,0.0214,0.0,5.12,391.0
Kepler-1522 b,Kepler-1522,Kepler,1.84788917,0.0288,1.73,0.154,3.64,0.0115,0.0,1513.46,1374.0
Kepler-1523 b,Kepler-1523,Kepler,0.93875077,0.0185,1.58,0.141,3.12,0.00982,0.0,2218.14,1676.0
Kepler-1524 b,Kepler-1524,Kepler,70.9674603,0.3392,3.54,0.316,12.3,0.0386,0.0,8.44,438.0
Kepler-1525 b,Kepler-1525,Kepler,2.41660118,0.036,0.91,0.081,0.693,0.00218,0.0,715.11,1343.0
Kepler-1526 b,Kepler-1526,Kepler,3.908632,0.0418,2.43,0.217,6.48,0.0204,0.0,99.1,787.0
Kepler-1527 b,Kepler-1527,Kepler,160.129918,0.6276,4.77,0.426,20.4,0.0641,0.0,7.81,450.0
Kepler-1528 b,Kepler-1528,Kepler,1.79111021,0.0296,1.46,0.13,2.73,0.00859,0.0,1106.85,1549.0
Kepler-1529 b,Kepler-1529,Kepler,5.33905686,0.0525,2.1,0.187,5.06,0.0159,0.0,115.77,817.0
Kepler-153 b,Kepler-153,Kepler,18.870227,0.129,2.92,0.261,8.85,0.0279,0.0,21.61,621.0
Kepler-153 c,Kepler-153,Kepler,46.90232,0.237,2.53,0.226,6.94,0.0218,0.0,6.42,458.0
Kepler-1530 b,Kepler-1530,Kepler,2.5904434,0.0371,1.64,0.146,3.33,0.0105,0.0,353.56,1484.0
Kepler-1530 c,Kepler-1530,Kepler,5.3227406,0.06,1.65,0.147,3.36,0.0106,0.0,135.18,1167.0
