,pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt
2191,Kepler-1535 b,Kepler-1535,Kepler,138.9442,0.5329,2.55,7.04,0.0,5.38,384.0
2192,Kepler-1536 b,Kepler-1536,Kepler,364.758031,0.8507,3.14,10.0,0.0,0.19,166.0
2193,Kepler-1537 b,Kepler-1537,Kepler,1.4444538,0.0245,1.18,1.76,0.0,713.17,1800.0
2194,Kepler-1538 b,Kepler-1538,Kepler,175.13881899999998,0.6095,2.82,8.35,0.0,1.99,346.0
2195,Kepler-1539 b,Kepler-1539,Kepler,133.3036741,0.4765,2.7,7.75,0.0,1.57,301.0
2196,Kepler-154 b,Kepler-154,Kepler,33.040532,0.198,2.26,5.73,0.0,28.11,561.0
2197,Kepler-154 c,Kepler-154,Kepler,62.303276000000004,0.303,2.95,9.01,0.0,12.07,454.0
2198,Kepler-154 d,Kepler-154,Kepler,20.54981883,0.1415,3.84,14.1,0.0,53.0,657.0
2199,Kepler-154 e,Kepler-154,Kepler,3.93276465,0.047,1.5,2.86,0.0,480.4,1140.0
2200,Kepler-154 f,Kepler-154,Kepler,9.91935684,0.0871,1.5,2.86,0.0,139.88,838.0
2201,Kepler-1540 b,Kepler-1540,Kepler,125.41311770000002,0.4426,2.49,6.76,0.0,0.85,266.0
2202,Kepler-1541 b,Kepler-1541,Kepler,8.40691199,0.0781,1.16,1.65,0.0,75.56,1048.0
2203,Kepler-1542 b,Kepler-1542,Kepler,3.95116882,0.0479,0.76,0.363,0.0,518.44,1160.0
2204,Kepler-1542 c,Kepler-1542,Kepler,2.89223021,0.0389,0.65,0.20800000000000002,0.0,786.08,1287.0
2205,Kepler-1542 d,Kepler-1542,Kepler,5.99273738,0.0632,0.87,0.59,0.0,297.81,1010.0
2206,Kepler-1542 e,Kepler-1542,Kepler,5.10115756,0.0567,0.76,0.363,0.0,370.0,1065.0
2207,Kepler-1543 b,Kepler-1543,Kepler,6.96710269,0.0867,2.71,7.8,0.0,375.65,1774.0
2208,Kepler-1544 b,Kepler-1544,Kepler,168.811174,0.5421,1.78,3.82,0.0,0.83,269.0
2209,Kepler-1545 b,Kepler-1545,Kepler,163.692349,0.5442,2.7,7.75,0.0,1.41,274.0
2210,Kepler-1546 b,Kepler-1546,Kepler,19.597497100000002,0.1366,3.13,9.96,0.0,36.3,671.0
2211,Kepler-1547 b,Kepler-1547,Kepler,0.69297968,0.0165,0.9,0.6659999999999999,0.0,5760.94,3186.0
2212,Kepler-1548 b,Kepler-1548,Kepler,124.82867900000001,0.4679,2.64,7.46,0.0,1.93,350.0
2213,Kepler-1549 b,Kepler-1549,Kepler,214.886545,0.6687,2.57,7.13,0.0,1.18,286.0
2214,Kepler-155 b,Kepler-155,Kepler,5.9311940000000005,0.055999999999999994,2.09,5.02,0.0,23.5,614.0
2215,Kepler-155 c,Kepler-155,Kepler,52.661793,0.242,2.24,5.65,0.0,1.28,286.0
2216,Kepler-1550 b,Kepler-1550,Kepler,225.582809,0.7681,3.02,9.38,0.0,2.31,348.0
2217,Kepler-1551 b,Kepler-1551,Kepler,24.4973698,0.1772,2.66,7.56,0.0,60.42,722.0
2218,Kepler-1552 b,Kepler-1552,Kepler,184.771853,0.6045,2.47,6.66,0.0,1.85,268.0
2219,Kepler-1553 b,Kepler-1553,Kepler,4.24261881,0.0481,1.15,1.6,0.0,166.11,926.0
2220,Kepler-1554 b,Kepler-1554,Kepler,198.088774,0.6314,2.9,8.75,0.0,1.01,288.0
2221,Kepler-1555 b,Kepler-1555,Kepler,8.10501635,0.0805,1.61,3.22,0.0,483.26,959.0
2222,Kepler-1556 b,Kepler-1556,Kepler,8.82713457,0.0829,1.96,4.5,0.0,92.14,797.0
2223,Kepler-1557 b,Kepler-1557,Kepler,3.74032496,0.049,1.53,2.96,0.0,645.54,1287.0
2224,Kepler-1558 b,Kepler-1558,Kepler,3.50470358,0.0419,0.68,0.244,0.0,189.89,1019.0
2225,Kepler-1559 b,Kepler-1559,Kepler,0.97191543,0.018000000000000002,0.72,0.299,0.0,1620.06,1609.0
2226,Kepler-156 b,Kepler-156,Kepler,4.973456,0.054000000000000006,2.3,5.9,0.0,135.08,867.0
2227,Kepler-156 c,Kepler-156,Kepler,15.906801000000002,0.11699999999999999,2.55,7.04,0.0,28.64,588.0
2228,Kepler-1560 b,Kepler-1560,Kepler,3.03195744,0.0397,0.89,0.64,0.0,593.92,1269.0
2229,Kepler-1561 b,Kepler-1561,Kepler,1.00520701,0.0194,1.09,1.32,0.0,2364.81,1682.0
2230,Kepler-1562 b,Kepler-1562,Kepler,64.2737752,0.3308,3.55,12.3,0.0,31.77,554.0
2231,Kepler-1563 b,Kepler-1563,Kepler,3.43276598,0.0442,0.75,0.34700000000000003,0.0,390.57,1134.0
2232,Kepler-1564 b,Kepler-1564,Kepler,18.054038100000003,0.1327,1.47,2.76,0.0,41.51,635.0
2233,Kepler-1565 b,Kepler-1565,Kepler,1.53818844,0.0241,1.19,1.81,0.0,510.57,1234.0
2234,Kepler-1566 b,Kepler-1566,Kepler,0.53991524,0.0121,0.79,0.418,0.0,2340.98,1871.0
2235,Kepler-1567 b,Kepler-1567,Kepler,153.979578,0.552,2.73,7.9,0.0,2.72,330.0
2236,Kepler-1568 b,Kepler-1568,Kepler,20.925392000000002,0.1499,1.3,2.24,0.0,72.57,729.0
2237,Kepler-1569 b,Kepler-1569,Kepler,5.79180156,0.0654,1.68,3.46,0.0,495.65,1222.0
2238,Kepler-157 b,Kepler-157,Kepler,1.7323419999999998,0.027999999999999997,1.32,2.3,0.0,1572.31,1546.0
2239,Kepler-157 c,Kepler-157,Kepler,13.5405,0.11,2.24,5.65,0.0,101.75,779.0
2240,Kepler-157 d,Kepler-157,Kepler,7.02573474,0.0698,1.46,2.73,0.0,244.06,969.0
2241,Kepler-1570 b,Kepler-1570,Kepler,26.548955,0.1784,1.07,1.24,0.0,76.46,836.0
2242,Kepler-1571 b,Kepler-1571,Kepler,3.38555488,0.0432,1.52,2.92,0.0,757.13,1476.0
2243,Kepler-1572 b,Kepler-1572,Kepler,5.49548621,0.0614,0.94,0.779,0.0,583.52,1293.0
2244,Kepler-1573 b,Kepler-1573,Kepler,2.6157554,0.0364,1.2,1.87,0.0,1343.11,1379.0
2245,Kepler-1574 b,Kepler-1574,Kepler,6.9424334000000005,0.0743,1.29,2.21,0.0,289.78,1003.0
2246,Kepler-1575 b,Kepler-1575,Kepler,2.55314213,0.0366,1.31,2.27,0.0,803.68,1312.0
2247,Kepler-1576 b,Kepler-1576,Kepler,6.98471973,0.0726,1.04,1.12,0.0,156.61,1059.0
2248,Kepler-1577 b,Kepler-1577,Kepler,6.30560247,0.0657,1.13,1.51,0.0,57.75,1125.0
2249,Kepler-1578 b,Kepler-1578,Kepler,1.45088691,0.0252,1.04,1.12,0.0,1486.44,1700.0
2250,Kepler-1579 b,Kepler-1579,Kepler,0.84990789,0.013999999999999999,0.84,0.52,0.0,396.64,1139.0
2251,Kepler-158 b,Kepler-158,Kepler,16.709184,0.111,2.12,5.14,0.0,13.63,500.0
2252,Kepler-158 c,Kepler-158,Kepler,28.551383,0.158,1.9,4.27,0.0,6.68,418.0
2253,Kepler-1580 b,Kepler-1580,Kepler,56.6449279,0.32299999999999995,2.11,5.1,0.0,83.09,733.0
2254,Kepler-1581 b,Kepler-1581,Kepler,6.28385491,0.0674,0.8,0.43700000000000006,0.0,470.86,1108.0
2255,Kepler-1582 b,Kepler-1582,Kepler,4.83817712,0.0316,1.49,2.83,0.0,2.5,354.0
2256,Kepler-1583 b,Kepler-1583,Kepler,9.32807355,0.085,0.6,0.156,0.0,124.31,788.0
2257,Kepler-1584 b,Kepler-1584,Kepler,13.399709900000001,0.1168,1.61,3.22,0.0,162.54,886.0
2258,Kepler-1585 b,Kepler-1585,Kepler,3.5827462999999997,0.0445,1.79,3.86,0.0,182.94,1064.0
2259,Kepler-1586 b,Kepler-1586,Kepler,15.6049212,0.1266,1.52,2.92,0.0,105.77,1013.0
2260,Kepler-1587 b,Kepler-1587,Kepler,9.4060467,0.0878,1.33,2.33,0.0,254.7,981.0
2261,Kepler-1588 b,Kepler-1588,Kepler,7.84931739,0.0726,0.76,0.363,0.0,359.79,925.0
2262,Kepler-1589 b,Kepler-1589,Kepler,0.99166527,0.0205,1.09,1.32,0.0,5228.78,2102.0
2263,Kepler-159 b,Kepler-159,Kepler,10.139623,0.08199999999999999,2.38,6.26,0.0,33.46,447.0
2264,Kepler-159 c,Kepler-159,Kepler,43.595791999999996,0.218,3.41,11.5,0.0,4.79,275.0
2265,Kepler-1590 b,Kepler-1590,Kepler,7.61760804,0.0772,1.14,1.55,0.0,171.48,1020.0
2266,Kepler-1591 b,Kepler-1591,Kepler,8.18504949,0.0794,1.27,2.15,0.0,439.43,892.0
2267,Kepler-1592 b,Kepler-1592,Kepler,3.05710069,0.04,1.54,2.99,0.0,1918.34,1202.0
2268,Kepler-1593 b,Kepler-1593,Kepler,174.509835,0.546,3.17,10.2,0.0,0.89,260.0
2269,Kepler-1594 b,Kepler-1594,Kepler,2.71603809,0.0396,1.06,1.2,0.0,672.41,1360.0
2270,Kepler-1595 b,Kepler-1595,Kepler,4.56380468,0.051,1.23,2.04,0.0,185.57,980.0
2271,Kepler-1596 b,Kepler-1596,Kepler,66.373379,0.3237,1.9,4.27,0.0,33.38,471.0
2272,Kepler-1597 b,Kepler-1597,Kepler,2.94654179,0.0427,1.06,1.2,0.0,1431.31,1497.0
2273,Kepler-1598 b,Kepler-1598,Kepler,4.34195123,0.0527,0.95,0.809,0.0,308.46,1236.0
2274,Kepler-1599 b,Kepler-1599,Kepler,122.363553,0.4823,1.62,3.26,0.0,8.2,407.0
2275,Kepler-16 b,Kepler-16,Kepler,228.77599999999998,0.7048,8.449,105.833,0.0069,396.62,1134.0
2276,Kepler-160 b,Kepler-160,Kepler,4.309397,0.05511,1.715,3.59,0.0,396.62,1134.0
2277,Kepler-160 c,Kepler-160,Kepler,13.699429,0.1192,3.76,13.6,0.0,84.85,771.0
2278,Kepler-160 d,Kepler-160,Kepler,30.0,0.17,3.13,100.0,0.0,0.46,209.0
2279,Kepler-1600 b,Kepler-1600,Kepler,386.370548,0.9712,3.13,9.96,0.0,0.46,209.0
2280,Kepler-1601 b,Kepler-1601,Kepler,2.20921951,0.0336,0.82,0.47700000000000004,0.0,999.75,1507.0
2281,Kepler-1602 b,Kepler-1602,Kepler,11.17931605,0.1074,1.34,2.36,0.0,124.51,1159.0
2282,Kepler-1603 b,Kepler-1603,Kepler,2.27163926,0.0351,1.29,2.21,0.0,1269.46,1522.0
2283,Kepler-1604 b,Kepler-1604,Kepler,0.68368426,0.0089,1.41,2.57,0.0,3567.57,2023.0
2284,Kepler-1605 b,Kepler-1605,Kepler,85.7565495,0.3912,1.08,1.28,0.0,16.73,528.0
2285,Kepler-1606 b,Kepler-1606,Kepler,196.435224,0.6421,2.07,4.94,0.0,1.29,324.0
2286,Kepler-1607 b,Kepler-1607,Kepler,13.6473676,0.1075,0.92,0.721,0.0,449.63,913.0
2287,Kepler-1608 b,Kepler-1608,Kepler,16.4735686,0.1126,1.73,3.64,0.0,33.22,612.0
2288,Kepler-1609 b,Kepler-1609,Kepler,114.34218999999999,0.4679,2.22,5.56,0.0,12.97,429.0
2289,Kepler-161 b,Kepler-161,Kepler,4.921355,0.054000000000000006,2.12,12.1,0.0,123.4,868.0
2290,Kepler-161 c,Kepler-161,Kepler,7.06424,0.068,2.05,11.8,0.0,76.2,769.0
2291,Kepler-1610 b,Kepler-1610,Kepler,8.70181574,0.0777,1.61,3.22,0.0,56.21,750.0
2292,Kepler-1611 b,Kepler-1611,Kepler,5.1762429,0.0586,0.81,0.457,0.0,146.22,1243.0
2293,Kepler-1612 b,Kepler-1612,Kepler,3.91795101,0.0482,1.03,1.08,0.0,269.25,1030.0
2294,Kepler-1613 b,Kepler-1613,Kepler,1.5184298999999999,0.0264,2.08,4.98,0.0,6797.62,1926.0
2295,Kepler-1614 b,Kepler-1614,Kepler,3.9466141,0.0471,1.49,2.83,0.0,276.37,981.0
2296,Kepler-1615 b,Kepler-1615,Kepler,47.31261920000001,0.2788,2.06,4.9,0.0,31.17,658.0
2297,Kepler-1616 b,Kepler-1616,Kepler,6.76284377,0.0761,1.02,1.04,0.0,724.86,1337.0
2298,Kepler-1617 b,Kepler-1617,Kepler,27.478557199999997,0.18100000000000002,1.2,1.87,0.0,64.69,736.0
2299,Kepler-1618 b,Kepler-1618,Kepler,6.10826019,0.0706,1.26,2.13,0.0,903.91,1267.0
2300,Kepler-1619 b,Kepler-1619,Kepler,23.6225913,0.1611,0.76,0.363,0.0,74.64,797.0
2301,Kepler-162 b,Kepler-162,Kepler,6.919797999999999,0.069,1.26,2.13,0.0,305.95,961.0
2302,Kepler-162 c,Kepler-162,Kepler,19.446355,0.13699999999999998,3.03,9.43,0.0,77.05,681.0
2303,Kepler-1620 b,Kepler-1620,Kepler,101.951829,0.4322,1.61,3.22,0.0,7.92,428.0
2304,Kepler-1621 b,Kepler-1621,Kepler,92.26371400000001,0.4204,2.16,5.31,0.0,14.05,469.0
2305,Kepler-1622 b,Kepler-1622,Kepler,10.8118737,0.0994,1.47,2.76,0.0,236.0,922.0
2306,Kepler-1623 b,Kepler-1623,Kepler,4.36128348,0.0518,1.31,2.27,0.0,243.08,1000.0
2307,Kepler-1624 b,Kepler-1624,Kepler,3.29030452,0.0327,5.7,27.6,0.0,6.01,540.0
2308,Kepler-1625 b,Kepler-1625,Kepler,287.37894900000003,0.8748,6.06,30.6,0.0,3.77,350.0
2309,Kepler-1626 b,Kepler-1626,Kepler,4.13962966,0.0537,2.02,4.74,0.0,1328.65,1352.0
2310,Kepler-1627 b,Kepler-1627,Kepler,7.20283653,0.0643,3.69,13.2,0.0,143.12,794.0
2311,Kepler-1628 b,Kepler-1628,Kepler,76.378033,0.2952,6.43,33.8,0.0,0.79,240.0
2312,Kepler-1629 b,Kepler-1629,Kepler,3.87595807,0.0485,0.77,0.381,0.0,315.46,1081.0
2313,Kepler-163 b,Kepler-163,Kepler,7.810936999999999,0.078,1.05,1.16,0.0,115.61,906.0
2314,Kepler-163 c,Kepler-163,Kepler,21.347262,0.152,2.26,5.73,0.0,30.24,648.0
2315,Kepler-1630 b,Kepler-1630,Kepler,509.99740199999997,1.1218,2.19,5.43,0.0,0.26,182.0
2316,Kepler-1631 b,Kepler-1631,Kepler,4.09513932,0.0511,1.35,2.39,0.0,446.92,1122.0
2317,Kepler-1632 b,Kepler-1632,Kepler,448.303558,0.6762,2.47,6.66,0.0,6.06,369.0
2318,Kepler-1633 b,Kepler-1633,Kepler,186.404271,0.3875,1.58,3.12,0.0,26.26,925.0
2319,Kepler-1634 b,Kepler-1634,Kepler,374.876239,1.0525,3.19,10.3,0.0,0.54,282.0
2320,Kepler-1635 b,Kepler-1635,Kepler,469.63111,1.117,3.64,12.9,0.0,0.4,200.0
