,pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt
1004,HIP 67851 b,HIP 67851,Multiple Observatories,88.9,0.46,13.6,438.6054,0.05,989.7,2700.0
1005,HIP 67851 c,HIP 67851,Multiple Observatories,2131.8,3.82,12.7,2002.2,0.17,989.7,2700.0
1006,HIP 70849 b,HIP 70849,La Silla Observatory,17337.5,20.25,12.5,2860.0,0.715,989.7,2700.0
1007,HIP 71135 b,HIP 71135,Las Campanas Observatory,87.19,0.335,4.55,18.8,0.21,989.7,2700.0
1008,HIP 74890 b,HIP 74890,Multiple Observatories,822.3,2.1,13.3,762.7919999999999,0.07,989.7,2700.0
1009,HIP 78530 b,HIP 78530,Gemini Observatory,111.7,740.0,12.0,7300.0,0.29,989.7,2700.0
1010,HIP 79098 AB b,HIP 79098 AB,Paranal Observatory,111.7,345.0,12.1,6515.515,0.29,989.7,2450.0
1011,HIP 79431 b,HIP 79431,W. M. Keck Observatory,111.7,0.36,13.4,667.415,0.29,989.7,1200.0
1012,HIP 8541 b,HIP 8541,Multiple Observatories,1560.2,2.8,12.8,1748.065,0.16,989.7,1200.0
1013,HIP 91258 b,HIP 91258,Haute-Provence Observatory,5.0505,0.06,13.7,346.4347,0.02,989.7,1200.0
1014,HIP 97233 b,HIP 97233,Multiple Observatories,1058.8,2.55,12.1,6356.3,0.61,989.7,1200.0
1015,HN Peg b,HN Peg,Spitzer Space Telescope,27000.0,773.0,11.777,6991.57,0.84,989.7,1200.0
1016,HR 2562 b,HR 2562,Gemini Observatory,27000.0,20.3,12.442,9534.9,0.84,989.7,1200.0
1017,HR 5183 b,HR 5183,Multiple Observatories,27000.0,18.0,13.1,1026.5909,0.84,989.7,171.0
1018,HR 810 b,HR 810,La Silla Observatory,302.79999,0.92,13.3,721.4741,0.14,989.7,1572.0
1019,HR 858 b,HR 858,Transiting Exoplanet Survey Satellite (TESS),3.5859900000000002,0.048,2.085,5.0,0.3,989.7,1572.0
1020,HR 858 c,HR 858,Transiting Exoplanet Survey Satellite (TESS),5.97293,0.0674,1.939,4.42,0.19,512.0,1326.0
1021,HR 858 d,HR 858,Transiting Exoplanet Survey Satellite (TESS),11.23,0.1027,2.164,5.32,0.28,217.0,1075.0
1022,HR 8799 b,HR 8799,Gemini Observatory,170000.0,68.0,13.0,2000.0,0.5,54.1,1200.0
1023,HR 8799 c,HR 8799,Gemini Observatory,69000.0,38.0,13.0,3000.0,0.5,54.1,1200.0
1024,HR 8799 d,HR 8799,W. M. Keck Observatory,37000.0,24.0,13.0,3000.0,0.6,54.1,1300.0
1025,HR 8799 e,HR 8799,W. M. Keck Observatory,20815.6,16.4,13.115,3178.3,0.15,54.1,1150.0
1026,HU Aqr AB b,HU Aqr,Yunnan Astronomical Observatory,2390.0,3.6,12.8,1875.1970000000001,0.0,54.1,703.0
1027,HU Aqr AB c,HU Aqr,Yunnan Astronomical Observatory,4368.0,5.4,12.9,1430.235,0.51,54.1,703.0
1028,HW Vir b,HW Vir,McDonald Observatory,4640.0,4.69,12.3,4602.90201,0.4,54.1,703.0
1029,IC 4651 9122 b,IC 4651 9122,La Silla Observatory,734.0,2.0380000000000003,12.7,2002.329,0.18,54.1,703.0
1030,K2-10 b,K2-10,K2,19.3044,0.13699999999999998,3.84,27.0,0.31,54.1,703.0
1031,K2-100 b,K2-100,K2,1.6738330000000001,0.0296,3.59,12.6,0.0,990.0,1748.0
1032,K2-101 b,K2-101,K2,14.677285999999999,0.023,2.0,4.66,0.1,62.1,814.0
1033,K2-102 b,K2-102,K2,9.915614999999999,0.023,1.3,2.24,0.1,62.1,814.0
1034,K2-104 b,K2-104,K2,1.9742380000000002,0.023,1.96,4.5,0.09,62.1,814.0
1035,K2-105 b,K2-105,K2,8.267704,0.0796,3.37,30.0,0.0,762.0,814.0
1036,K2-107 b,K2-107,K2,3.3139589999999997,0.0475,15.98,266.9772,0.0,762.0,1649.0
1037,K2-108 b,K2-108,K2,4.733999,0.0581,5.33,59.4,0.18,762.0,1360.0
1038,K2-11 b,K2-11,K2,39.937670000000004,0.2257,7.55,44.4,0.079,9.84,734.0
1039,K2-110 b,K2-110,K2,13.86387,0.1027,2.56,16.7,0.079,78.6,575.0
1040,K2-111 b,K2-111,K2,5.3518,0.057,1.82,5.29,0.13,78.6,1309.0
1041,K2-111 c,K2-111,Multiple Observatories,15.6785,0.1166,3.37,11.3,0.07,78.6,1098.0
1042,K2-113 b,K2-113,K2,5.817685,0.0642,12.14,410.0007,0.0,78.6,1098.0
1043,K2-114 b,K2-114,K2,11.391013000000001,0.0954,10.67,587.9855,0.0,78.6,661.0
1044,K2-115 b,K2-115,K2,20.272615,0.14300000000000002,12.06,266.9772,0.13699999999999998,78.6,619.0
1045,K2-116 b,K2-116,K2,4.655411,0.048,0.69,0.257,0.06,78.6,868.0
1046,K2-117 b,K2-117,K2,1.2916,0.0189,2.03,4.78,0.06,145.8,868.0
1047,K2-117 c,K2-117,K2,5.444017,0.0492,2.06,4.9,0.15,21.4,537.0
1048,K2-118 b,K2-118,K2,50.92092,0.245,2.54,6.99,0.2,4.3,666.0
1049,K2-119 b,K2-119,K2,7.727283,0.0698,2.53,6.94,0.07,54.9,666.0
1050,K2-12 b,K2-12,K2,8.282119999999999,0.0802,2.33,6.04,0.14,310.0,1003.0
1051,K2-120 b,K2-120,K2,9.562742,0.078,2.01,4.7,0.14,35.1,723.0
1052,K2-121 b,K2-121,K2,5.185761,0.0525,7.5,43.9,0.22,89.5,723.0
1053,K2-122 b,K2-122,K2,2.2192819999999998,0.0285,1.21,1.92,0.21,79.9,814.0
1054,K2-123 b,K2-123,K2,30.951524,0.1649,2.76,8.05,0.06,2.9,338.0
1055,K2-124 b,K2-124,K2,6.413651,0.049,2.9,8.75,0.08,8.7,442.0
1056,K2-125 b,K2-125,K2,21.750264,0.121,2.18,5.39,0.08,2.0,601.0
1057,K2-126 b,K2-126,K2,7.385655,0.0656,1.97,4.54,0.06,35.3,601.0
1058,K2-127 b,K2-127,K2,3.5881629999999998,0.0411,8.37,52.9,0.12,105.6,809.0
1059,K2-128 b,K2-128,K2,5.675819000000001,0.055999999999999994,1.42,2.6,0.23,68.8,511.0
1060,K2-129 b,K2-129,K2,8.239493,0.057,1.04,1.12,0.13,4.5,511.0
1061,K2-13 b,K2-13,K2,39.91488,0.2114,1.89,4.23,0.17,22.8,511.0
1062,K2-130 b,K2-130,K2,2.49412,0.032,1.25,2.1,0.17,136.4,2062.0
1063,K2-131 b,K2-131,K2,0.36930999999999997,0.0095,1.7,6.3,0.0,1.8,2062.0
1064,K2-132 b,K2-132,K2,9.1751,0.0916,14.572,155.7367,0.29,1.8,1586.0
1065,K2-133 b,K2-133,K2,3.07133,0.03194,1.34,2.36,0.1,1.8,296.0
1066,K2-133 c,K2-133,K2,4.86784,0.04341,1.6030000000000002,3.2,0.1,1.8,296.0
1067,K2-133 d,K2-133,K2,11.02454,0.07487,2.003,4.67,0.1,1.8,296.0
1068,K2-133 e,K2-133,K2,26.5841,0.1346,1.73,3.64,0.1,1.8,296.0
1069,K2-136 b,K2-136,K2,7.975292,0.11728,0.99,0.937,0.1,11.9,553.0
1070,K2-136 c,K2-136,K2,17.307137,0.11728,2.91,8.8,0.13,11.9,425.0
1071,K2-136 d,K2-136,K2,25.575065,0.0058,1.45,2.7,0.14,424.51,373.0
1072,K2-137 b,K2-137,K2,0.179715,0.0058,0.89,158.915,0.0,424.51,1471.0
1073,K2-138 b,K2-138,K2,2.35321,0.0338,1.49,2.83,0.40299999999999997,424.51,1157.0
1074,K2-138 c,K2-138,K2,3.56015,0.0442,2.26,5.73,0.29600000000000004,248.95,1012.0
1075,K2-138 d,K2-138,K2,5.40484,0.0575,2.46,6.62,0.348,147.12,888.0
1076,K2-138 e,K2-138,K2,8.26147,0.0792,3.11,9.85,0.315,77.79,757.0
1077,K2-138 f,K2-138,K2,12.75758,0.1064,2.73,7.9,0.364,43.02,653.0
1078,K2-138 g,K2-138,K2,41.96645,0.2287,3.18,10.2,0.12,9.29,445.0
1079,K2-139 b,K2-139,K2,28.380619,0.1796,9.11,123.00021,0.12,8.0,524.0
1080,K2-14 b,K2-14,K2,8.36802,0.0627,4.81,20.7,0.14,8.0,488.0
1081,K2-140 b,K2-140,K2,6.56918,0.0687,12.25,323.8687700000001,0.12,188.5,957.0
1082,K2-141 b,K2-141,K2,0.28032440000000003,0.00716,1.51,5.08,0.0,20.7,2039.0
1083,K2-141 c,K2-141,K2,7.7485,0.0259,7.0,7.4,0.0,20.7,534.0
1084,K2-146 b,K2-146,K2,2.6446,0.0259,2.05,5.77,0.129,20.7,534.0
1085,K2-146 c,K2-146,K2,4.004980000000001,0.0159,2.19,7.49,0.075,200.1,676.0
1086,K2-147 b,K2-147,K2,0.961917,0.0159,1.38,2.48,0.0,200.1,676.0
1087,K2-148 b,K2-148,K2,4.38395,0.0454,1.33,2.33,0.0,48.8,676.0
1088,K2-148 c,K2-148,K2,6.9226,0.0616,1.73,3.64,0.0,26.5,676.0
1089,K2-148 d,K2-148,K2,9.7579,0.0774,1.64,3.33,0.0,16.8,676.0
1090,K2-149 b,K2-149,K2,11.332,0.083,1.64,3.33,0.0,7.0,676.0
1091,K2-15 b,K2-15,K2,11.8104,0.091,2.48,6.71,0.0,48.0,676.0
1092,K2-150 b,K2-150,K2,10.59357,0.0727,2.0,4.66,0.0,4.9,566.0
1093,K2-151 b,K2-151,K2,3.8354760000000003,0.0373,1.49,2.83,0.0,20.8,566.0
1094,K2-152 b,K2-152,K2,32.6479,0.1716,2.29,5.86,0.0,2.9,337.0
1095,K2-153 b,K2-153,K2,7.515739999999999,0.0614,2.0,4.66,0.18,11.8,497.0
1096,K2-154 b,K2-154,K2,3.6762599999999996,0.0405,1.99,4.62,0.18,57.5,715.0
1097,K2-154 c,K2-154,K2,7.954860000000001,0.0677,2.07,4.94,0.18,20.5,552.0
1098,K2-155 b,K2-155,K2,6.3420000000000005,0.0562,1.8,3.89,0.18,19.9,708.0
1099,K2-155 c,K2-155,K2,13.85,0.0946,2.6,7.27,0.18,7.0,583.0
1100,K2-155 d,K2-155,K2,40.718,0.1937,1.9,4.27,0.18,1.67,381.0
1101,K2-156 b,K2-156,K2,0.81314,0.0149,1.15,1.6,0.18,44.5,1347.0
1102,K2-157 b,K2-157,K2,0.365257,0.0887,1.055,1.18,0.18,44.5,794.0
1103,K2-158 b,K2-158,K2,10.06049,0.0887,2.64,7.46,0.18,44.5,794.0
1104,K2-158 c,K2-158,K2,5.90279,0.0622,1.28,2.18,0.18,44.5,948.0
1105,K2-159 b,K2-159,K2,12.42205,0.1013,2.26,5.73,0.18,44.5,684.0
1106,K2-16 b,K2-16,K2,7.6188,0.0667,2.02,4.74,0.18,44.5,658.0
1107,K2-16 c,K2-16,K2,19.07863,0.1229,2.54,6.99,0.18,13.1,485.0
1108,K2-160 b,K2-160,K2,3.7058709999999997,0.0795,3.178,10.2,0.18,4.91,631.0
1109,K2-161 b,K2-161,K2,9.283188,0.0795,6.117000000000001,31.1,0.18,4.91,631.0
1110,K2-162 b,K2-162,K2,9.45889,0.0795,1.44,2.67,0.18,4.91,631.0
1111,K2-163 b,K2-163,K2,6.6731169999999995,0.0858,2.466,6.65,0.18,4.91,1140.0
1112,K2-164 b,K2-164,K2,17.355066,0.0858,3.249,10.6,0.18,4.91,1140.0
1113,K2-165 b,K2-165,K2,2.3549919999999998,0.0858,1.274,2.17,0.18,4.91,1140.0
1114,K2-165 c,K2-165,K2,4.382745,0.0858,1.554,3.03,0.18,4.91,1140.0
1115,K2-165 d,K2-165,K2,14.101360999999999,0.0858,2.648,7.5,0.18,4.91,1140.0
1116,K2-166 b,K2-166,K2,8.52695,0.0858,2.19,5.43,0.18,4.91,1140.0
1117,K2-167 b,K2-167,K2,9.977481,0.11900000000000001,2.819,8.34,0.18,4.91,766.0
1118,K2-168 b,K2-168,K2,15.8523,0.11900000000000001,1.86,4.12,0.18,4.91,766.0
1119,K2-169 b,K2-169,K2,6.380803,0.11900000000000001,1.273,2.16,0.18,4.91,487.0
1120,K2-17 b,K2-17,K2,17.96753,0.11900000000000001,2.23,5.6,0.18,4.91,487.0
1121,K2-170 b,K2-170,K2,7.576544,0.126,1.418,2.6,0.2,1.0,455.0
1122,K2-170 c,K2-170,K2,12.400047,0.126,1.802,3.9,0.2,1.0,455.0
1123,K2-171 b,K2-171,K2,5.628466,0.126,2.687,7.69,0.2,1.0,455.0
1124,K2-172 b,K2-172,K2,14.316941,0.126,1.666,3.42,0.2,1.0,455.0
1125,K2-172 c,K2-172,K2,29.626820000000002,0.126,3.2060000000000004,10.4,0.2,1.0,455.0
1126,K2-173 b,K2-173,K2,5.868698999999999,0.126,1.608,3.22,0.2,1.0,455.0
1127,K2-174 b,K2-174,K2,19.562307,0.126,2.6,7.27,0.2,1.0,455.0
1128,K2-175 b,K2-175,K2,9.525988,0.1429,2.0380000000000003,4.81,0.2,1.0,284.0
1129,K2-176 b,K2-176,K2,5.329439,0.1429,1.491,2.83,0.2,1.0,284.0
1130,K2-177 b,K2-177,K2,14.155185000000001,0.1429,2.116,5.13,0.2,1.0,284.0
1131,K2-178 b,K2-178,K2,8.747817999999999,0.1429,3.5580000000000003,12.4,0.2,1.0,284.0
1132,K2-179 b,K2-179,K2,5.172191000000001,0.1429,2.513,6.86,0.2,1.0,284.0
1133,K2-18 b,K2-18,K2,32.939623,0.1429,2.37,8.92,0.2,1.0,284.0
1134,K2-18 c,K2-18,La Silla Observatory,8.962,0.06,2.65,7.51,0.47,125.9,363.0
1135,K2-180 b,K2-180,K2,8.867208999999999,0.0753,2.31,5.95,0.11900000000000001,125.9,731.0
1136,K2-181 b,K2-181,K2,6.8942559999999995,0.0706,2.84,8.45,0.11900000000000001,125.9,962.0
1137,K2-182 b,K2-182,K2,4.736837,0.0529,2.76,8.05,0.11900000000000001,125.9,885.0
1138,K2-183 b,K2-183,K2,0.46926899999999994,0.0932,2.599,7.27,0.11900000000000001,125.9,787.0
1139,K2-183 c,K2-183,K2,10.792635,0.0932,2.87,8.6,0.11900000000000001,125.9,787.0
1140,K2-183 d,K2-183,K2,22.631964,0.1527,2.86,8.55,0.11900000000000001,125.9,615.0
1141,K2-184 b,K2-184,K2,16.995731,0.1229,1.55,3.02,0.11900000000000001,125.9,580.0
1142,K2-185 b,K2-185,K2,10.616646000000001,0.0164,1.3130000000000002,2.28,0.11900000000000001,125.9,1815.0
1143,K2-186 b,K2-186,K2,41.474219,0.0164,3.172,10.2,0.11900000000000001,125.9,1815.0
1144,K2-187 b,K2-187,K2,0.7739199999999999,0.0164,1.3,2.24,0.11900000000000001,125.9,1815.0
1145,K2-187 c,K2-187,K2,2.872042,0.0392,1.8,3.89,0.11900000000000001,125.9,1173.0
1146,K2-187 d,K2-187,K2,7.149210000000001,0.07200000000000001,3.17,10.2,0.11900000000000001,125.9,865.0
1147,K2-187 e,K2-187,K2,13.609878,0.1106,2.38,6.26,0.11900000000000001,125.9,698.0
1148,K2-188 b,K2-188,K2,1.7421689999999999,0.0289,1.35,2.39,0.11900000000000001,125.9,1692.0
1149,K2-188 c,K2-188,K2,7.8102529999999994,0.0785,2.83,8.4,0.11900000000000001,125.9,1026.0
1150,K2-189 b,K2-189,K2,2.588309,0.0361,1.52,2.92,0.11900000000000001,125.9,1197.0
1151,K2-189 c,K2-189,K2,6.679195,0.068,2.5,6.8,0.11900000000000001,125.9,872.0
1152,K2-19 b,K2-19,K2,7.9194,0.07400000000000001,7.74,28.5,0.11900000000000001,125.9,854.0
1153,K2-19 c,K2-19,K2,11.90715,0.0971,4.86,15.9,0.0,73.1,745.0
1154,K2-19 d,K2-19,K2,2.5085599999999997,0.0344,1.14,14.0,0.0,583.5,1252.0
1155,K2-190 b,K2-190,K2,10.098858,0.049,1.357,2.41,0.0,98.09,939.0
1156,K2-190 c,K2-190,K2,21.574023,0.049,1.093,1.34,0.1,10.0,939.0
1157,K2-191 b,K2-191,K2,2.858646,0.049,1.579,3.12,0.1,10.0,939.0
1158,K2-192 b,K2-192,K2,4.1628169999999995,0.049,1.52,2.92,0.1,10.0,939.0
1159,K2-193 b,K2-193,K2,14.786889000000002,0.1184,3.95,14.8,0.1,10.0,739.0
1160,K2-194 b,K2-194,K2,39.721385999999995,0.1208,3.642,12.9,0.1,10.0,720.0
1161,K2-195 b,K2-195,K2,15.852975,0.1208,3.13,9.96,0.1,10.0,720.0
1162,K2-195 c,K2-195,K2,28.482785999999997,0.0806,2.576,7.16,0.1,10.0,848.0
1163,K2-196 b,K2-196,K2,48.324222,0.0806,3.6,12.6,0.1,10.0,848.0
1164,K2-197 b,K2-197,K2,8.357880999999999,0.0806,2.56,7.08,0.1,10.0,848.0
1165,K2-198 b,K2-198,K2,17.042868300000002,0.0385,4.189,16.3,0.1,10.0,716.0
1166,K2-198 c,K2-198,K2,3.3596055000000002,0.0385,1.423,2.61,0.1,10.0,1230.0
1167,K2-198 d,K2-198,K2,7.450017699999999,0.0385,2.438,6.52,0.1,10.0,943.0
1168,K2-199 b,K2-199,K2,3.2253380000000003,0.0385,1.87,4.16,0.1,10.0,861.0
1169,K2-199 c,K2-199,K2,7.374694,0.0668,2.78,8.15,0.1,10.0,653.0
1170,K2-200 b,K2-200,K2,2.849883,0.076,1.364,2.43,0.1,10.0,500.0
1171,K2-201 b,K2-201,K2,1.05979,0.076,1.4,2.54,0.1,10.0,500.0
1172,K2-201 c,K2-201,K2,22.779878,0.076,3.286,10.8,0.1,10.0,500.0
1173,K2-202 b,K2-202,K2,3.405164,0.076,2.302,5.91,0.1,10.0,500.0
1174,K2-203 b,K2-203,K2,9.695101,0.076,1.371,2.45,0.1,10.0,500.0
1175,K2-204 b,K2-204,K2,7.055784,0.076,3.0460000000000003,9.51,0.1,10.0,500.0
1176,K2-205 b,K2-205,K2,26.672263,0.076,1.996,4.64,0.1,10.0,500.0
1177,K2-206 b,K2-206,K2,18.294549,0.076,2.795,8.22,0.1,10.0,500.0
1178,K2-207 b,K2-207,K2,12.48749,0.076,2.6060000000000003,7.3,0.1,10.0,500.0
1179,K2-208 b,K2-208,K2,4.190948000000001,0.076,1.679,3.46,0.1,10.0,500.0
1180,K2-209 b,K2-209,K2,2.0806150000000003,0.076,0.8690000000000001,0.586,0.1,10.0,500.0
1181,K2-21 b,K2-21,K2,9.325038000000001,0.076,1.84,4.04,0.1,10.0,500.0
1182,K2-21 c,K2-21,K2,15.501920000000002,0.107,2.49,6.76,0.21,5.1,420.0
1183,K2-210 b,K2-210,K2,0.570233,0.0785,0.8190000000000001,0.474,0.0,248.0,542.0
1184,K2-211 b,K2-211,K2,0.669558,0.0785,1.375,2.46,0.0,248.0,542.0
1185,K2-212 b,K2-212,K2,9.79551,0.0785,2.52,6.9,0.0,248.0,542.0
1186,K2-213 b,K2-213,K2,8.13087,0.0834,1.514,2.9,0.0,248.0,1006.0
1187,K2-214 b,K2-214,K2,8.596802,0.0834,2.43,6.48,0.0,248.0,1006.0
1188,K2-215 b,K2-215,K2,8.269648,0.027999999999999997,2.124,5.16,0.0,248.0,1103.0
1189,K2-216 b,K2-216,K2,2.1748,0.027999999999999997,1.75,8.0,0.0,248.0,1103.0
1190,K2-217 b,K2-217,K2,14.074523999999998,0.0088,3.579,12.5,0.19,114.0,2100.0
1191,K2-218 b,K2-218,K2,8.679885,0.0088,2.569,7.13,0.19,114.0,2100.0
1192,K2-219 b,K2-219,K2,3.9012870000000004,0.0088,1.348,2.38,0.19,114.0,2100.0
1193,K2-219 c,K2-219,K2,6.667669999999999,0.0088,1.4380000000000002,2.66,0.19,114.0,2100.0
1194,K2-219 d,K2-219,K2,11.137278,0.0088,2.576,7.16,0.19,114.0,2100.0
1195,K2-22 b,K2-22,K2,0.38107800000000003,0.0088,2.5,444.962,0.19,114.0,2100.0
1196,K2-220 b,K2-220,K2,13.683256,0.1104,2.39,6.3,0.0,273.0,758.0
1197,K2-221 b,K2-221,K2,2.399094,0.1211,1.679,3.46,0.0,273.0,801.0
1198,K2-222 b,K2-222,K2,15.387063000000001,0.1211,2.39,6.3,0.0,273.0,801.0
1199,K2-223 b,K2-223,K2,0.50565,0.0127,0.89,0.64,0.0,273.0,2271.0
1200,K2-223 c,K2-223,K2,4.563269999999999,0.0549,1.57,3.09,0.0,273.0,1091.0
1201,K2-224 b,K2-224,K2,4.47904,0.0516,1.56,3.05,0.0,273.0,1002.0
1202,K2-224 c,K2-224,K2,10.09489,0.0886,2.41,6.39,0.0,273.0,764.0
1203,K2-225 b,K2-225,K2,15.87209,0.134,3.49,12.0,0.0,273.0,902.0
1204,K2-226 b,K2-226,K2,3.27108,0.0413,1.54,2.99,0.0,273.0,1120.0
1205,K2-227 b,K2-227,K2,13.621832000000001,0.0338,1.666,3.41,0.0,273.0,914.0
1206,K2-228 b,K2-228,K2,2.69828,0.0338,1.21,1.92,0.0,273.0,914.0
1207,K2-229 b,K2-229,K2,0.58426,0.0131,1.14,2.49,0.0,273.0,1818.0
1208,K2-229 c,K2-229,K2,8.32727,0.0769,2.03,21.3,0.0,273.0,750.0
1209,K2-230 b,K2-230,K2,2.86041,0.0409,1.96,4.5,0.258,273.0,1529.0
1210,K2-231 b,K2-231,K2,13.841901000000002,0.10356,2.5,6.8,0.258,273.0,1030.0
1211,K2-232 b,K2-232,K2,11.168453999999999,0.10356,11.209,126.49634,0.258,273.0,1030.0
1212,K2-233 b,K2-233,K2,2.46746,0.03317,1.398,2.54,0.0,273.0,1040.0
1213,K2-233 c,K2-233,K2,7.06142,0.06687,1.335,2.34,0.0,67.1,728.0
1214,K2-233 d,K2-233,K2,24.3662,0.1527,2.64,7.46,0.0,12.9,482.0
1215,K2-237 b,K2-237,K2,2.1805577,0.0353,18.405,392.83788,0.0,60.1,1838.0
1216,K2-238 b,K2-238,K2,3.20466,0.046,14.572,273.3338,0.0,60.1,1587.0
1217,K2-239 b,K2-239,K2,5.24,0.0441,1.1,1.37,0.06,60.1,502.0
1218,K2-239 c,K2-239,K2,7.775,0.0576,1.0,0.972,0.06,60.1,427.0
1219,K2-239 d,K2-239,K2,10.115,0.0685,1.1,1.37,0.06,60.1,399.0
1220,K2-24 b,K2-24,K2,20.889770000000002,0.154,5.4,19.0,0.06,60.1,709.0
1221,K2-24 c,K2-24,K2,42.3391,0.247,7.5,15.4,0.07,23.4,560.0
1222,K2-240 b,K2-240,K2,6.034,0.0513,2.0,4.66,0.27,5.8,586.0
1223,K2-240 c,K2-240,K2,20.523000000000003,0.1159,1.8,3.89,0.27,5.8,389.0
1224,K2-241 b,K2-241,K2,26.8199,0.1567,2.55,7.04,0.27,5.8,507.0
1225,K2-242 b,K2-242,K2,6.51389,0.0494,2.54,6.99,0.27,5.8,416.0
1226,K2-243 b,K2-243,K2,11.54182,0.1087,2.17,5.35,0.27,5.8,1035.0
1227,K2-243 c,K2-243,K2,24.94598,0.1817,2.01,4.7,0.27,5.8,801.0
1228,K2-244 b,K2-244,K2,21.068839999999998,0.1418,1.75,3.71,0.27,5.8,638.0
1229,K2-245 b,K2-245,K2,11.89307,0.0959,4.34,17.4,0.27,5.8,923.0
1230,K2-246 b,K2-246,K2,5.76918,0.0602,3.49,12.0,0.27,5.8,977.0
1231,K2-247 b,K2-247,K2,2.25021,0.0304,2.12,5.14,0.27,5.8,979.0
1232,K2-247 c,K2-247,K2,6.4942400000000005,0.0615,2.19,5.43,0.27,5.8,688.0
1233,K2-248 b,K2-248,K2,7.172560000000001,0.0699,2.57,7.13,0.27,5.8,886.0
1234,K2-249 b,K2-249,K2,12.409,0.1151,2.79,8.2,0.27,5.8,1061.0
1235,K2-25 b,K2-25,K2,3.484552,0.0459,3.43,11.6,0.27,5.8,958.0
1236,K2-250 b,K2-250,K2,4.01457,0.0459,2.44,6.53,0.0,5.8,958.0
1237,K2-251 b,K2-251,K2,9.30075,0.0694,2.35,6.12,0.0,5.8,437.0
1238,K2-252 b,K2-252,K2,13.815129999999998,0.1041,1.74,3.68,0.0,5.8,639.0
1239,K2-253 b,K2-253,K2,4.00167,0.0506,12.67,3.29,0.0,5.8,1238.0
1240,K2-254 b,K2-254,K2,4.09639,0.0448,1.63,3.29,0.0,5.8,791.0
1241,K2-254 c,K2-254,K2,12.11839,0.0923,2.19,5.43,0.0,5.8,551.0
1242,K2-255 b,K2-255,K2,1.96417,0.0274,2.9,8.75,0.0,5.8,1034.0
1243,K2-256 b,K2-256,K2,5.52011,0.0578,2.63,7.41,0.0,5.8,845.0
1244,K2-257 b,K2-257,K2,1.60588,0.0216,0.83,0.498,0.0,5.8,789.0
1245,K2-258 b,K2-258,K2,19.0921,0.149,3.0,9.27,0.0,5.8,831.0
1246,K2-259 b,K2-259,K2,15.480429999999998,0.1271,2.32,5.99,0.0,5.8,795.0
1247,K2-26 b,K2-26,K2,14.5665,0.0962,2.67,7.61,0.0,5.8,430.0
1248,K2-260 b,K2-260,K2,2.6266657,0.0404,17.396,451.3186,0.0,879.5,1957.0
1249,K2-261 b,K2-261,K2,11.63344,0.102,9.528,70.87609,0.39,879.5,1080.0
1250,K2-263 b,K2-263,K2,50.818946999999994,0.2573,2.41,14.8,0.14,879.5,470.0
1251,K2-264 b,K2-264,K2,5.840001999999999,0.05023,2.231,5.61,0.5,879.5,496.0
1252,K2-264 c,K2-264,K2,19.660301999999998,0.11283,2.668,7.6,0.45,879.5,331.0
1253,K2-265 b,K2-265,K2,2.3691720000000003,0.033760000000000005,1.71,6.54,0.084,879.5,1515.0
1254,K2-266 b,K2-266,K2,0.658524,0.01306,3.3,11.26782,0.042,879.5,1515.0
1255,K2-266 c,K2-266,K2,7.814,0.0679,0.705,0.29013,0.042,32.4,664.0
1256,K2-266 d,K2-266,K2,14.697000000000001,0.1035,2.93,8.9,0.047,13.95,538.0
1257,K2-266 e,K2-266,K2,19.482,0.1249,2.73,14.3,0.043,9.58,490.0
1258,K2-268 b,K2-268,K2,2.151894,0.0308,1.41,2.57,0.251,116.0,1121.0
1259,K2-268 c,K2-268,K2,9.326841,0.0819,2.69,7.7,0.251,116.0,688.0
1260,K2-269 b,K2-269,K2,4.144965,0.0531,1.57,3.09,0.251,116.0,1429.0
1261,K2-27 b,K2-27,K2,6.7713149999999995,0.06702000000000001,4.48,30.9,0.251,116.0,902.0
1262,K2-270 b,K2-270,K2,1.543069,0.0247,1.38,2.48,0.0,30.1,1203.0
1263,K2-270 c,K2-270,K2,4.400028,0.0497,2.95,9.01,0.0,30.1,848.0
1264,K2-271 b,K2-271,K2,8.562421,0.077,7.28,41.8,0.0,30.1,893.0
1265,K2-272 b,K2-272,K2,14.453532999999998,0.1081,2.91,8.8,0.0,30.1,655.0
1266,K2-273 b,K2-273,K2,11.716332000000001,0.0974,4.42,17.9,0.0,30.1,672.0
1267,K2-274 b,K2-274,K2,14.129714000000002,0.1064,2.2,5.48,0.0,30.1,589.0
1268,K2-275 b,K2-275,K2,3.280961,0.04,2.24,5.65,0.0,30.1,905.0
1269,K2-275 c,K2-275,K2,8.438756,0.075,2.34,6.08,0.0,30.1,660.0
1270,K2-276 b,K2-276,K2,18.718269,0.1291,3.77,13.7,0.0,30.1,583.0
1271,K2-277 b,K2-277,K2,6.326763,0.0675,2.07,4.94,0.0,30.1,958.0
1272,K2-278 b,K2-278,K2,3.3349660000000005,0.0488,2.98,9.17,0.0,30.1,1711.0
1273,K2-279 b,K2-279,K2,7.122605,0.067,1.21,1.92,0.0,30.1,879.0
1274,K2-28 b,K2-28,K2,2.260455,0.0214,2.32,5.99,0.0,30.1,568.0
1275,K2-280 b,K2-280,K2,19.895201999999998,0.1488,7.67,45.6,0.078,42.6,744.0
